date,close,open,high,low,volume
2020-10-7,6.679,6.479,6.710,6.456,46870
2020-10-8,6.683,6.666,6.689,6.621,32900
2020-10-9,6.763,6.685,6.781,6.679,44250
2020-10-12,6.738,6.744,6.785,6.707,23830
2020-10-13,6.692,6.738,6.738,6.658,30280
2020-10-14,6.716,6.692,6.748,6.685,25110
2020-10-15,6.749,6.705,6.787,6.670,34220
2020-10-16,6.740,6.786,6.792,6.720,26810
2020-10-19,6.780,6.726,6.811,6.725,28410
2020-10-20,6.899,6.758,6.938,6.750,46380
2020-10-21,6.992,6.888,7.034,6.883,50990
2020-10-22,6.923,6.978,6.988,6.884,28010
2020-10-23,6.868,6.911,6.926,6.856,19680
2020-10-26,6.781,6.863,6.872,6.757,27310
2020-10-27,6.798,6.781,6.827,6.765,19220
2020-10-28,6.748,6.778,6.822,6.699,35300
2020-10-29,6.730,6.749,6.794,6.699,22070
2020-10-30,6.719,6.726,6.778,6.695,35320
2020-11-2,6.762,6.696,6.811,6.672,33840
2020-11-3,6.816,6.800,6.855,6.779,26610
2020-11-4,6.838,6.726,6.848,6.671,46250
2020-11-5,6.853,6.833,6.891,6.779,31720
2020-11-6,6.947,6.846,6.977,6.833,32580
2020-11-9,6.916,6.967,7.053,6.912,47880
2020-11-10,6.932,6.918,6.963,6.833,39880
2020-11-11,6.885,6.944,6.991,6.857,23810
2020-11-12,6.934,6.899,6.966,6.886,25420
2020-11-13,6.983,6.913,7.022,6.897,31180
2020-11-16,7.108,7.030,7.178,7.021,70480
2020-11-17,7.068,7.107,7.135,7.012,39660
2020-11-18,7.089,7.052,7.148,7.041,30670
2020-11-19,7.093,7.046,7.095,7.016,30520
2020-11-20,7.278,7.094,7.291,7.081,52310
2020-11-23,7.178,7.273,7.286,7.159,32380
2020-11-24,7.293,7.214,7.327,7.209,40340
2020-11-25,7.300,7.326,7.359,7.254,30020
2020-11-26,7.403,7.319,7.423,7.319,34710
2020-11-27,7.500,7.420,7.520,7.384,36020
2020-11-30,7.580,7.519,7.708,7.515,71760
2020-12-1,7.695,7.595,7.742,7.582,38710
2020-12-2,7.673,7.666,7.722,7.566,35210
2020-12-3,7.675,7.668,7.740,7.630,34460
2020-12-4,7.761,7.668,7.774,7.663,33760
2020-12-7,7.710,7.766,7.799,7.659,26550
2020-12-8,7.699,7.705,7.717,7.636,27190
2020-12-9,7.723,7.706,7.779,7.691,29060
2020-12-10,7.878,7.679,7.900,7.673,41320
2020-12-11,7.773,7.890,7.971,7.701,51530
2020-12-14,7.751,7.783,7.829,7.735,26360
2020-12-15,7.783,7.747,7.831,7.718,23540
2020-12-16,7.836,7.796,7.876,7.786,24500
2020-12-17,7.920,7.852,7.954,7.849,37650
2020-12-18,7.985,7.922,8.027,7.902,41250
2020-12-21,7.847,7.980,7.989,7.822,38230
2020-12-22,7.747,7.880,7.918,7.729,32710
2020-12-23,7.844,7.752,7.853,7.674,25930
2020-12-24,7.788,7.831,7.869,7.784,16630
2020-12-29,7.860,7.887,7.917,7.818,27890
2020-12-30,7.848,7.826,7.894,7.807,21220
2020-12-31,7.766,7.829,7.847,7.734,22880
2021-1-4,7.861,7.787,7.947,7.787,44320
2021-1-5,8.002,7.866,8.049,7.854,37830
2021-1-6,8.038,8.052,8.170,8.007,50880
2021-1-7,8.179,8.074,8.181,8.035,37600
2021-1-8,8.131,8.185,8.238,8.013,49640
2021-1-11,7.864,8.074,8.095,7.838,40430
2021-1-12,7.976,7.881,8.039,7.877,32570
2021-1-13,8.009,8.029,8.053,7.954,29270
2021-1-14,8.049,7.990,8.083,7.950,30620
2021-1-15,7.949,8.087,8.115,7.911,31350
2021-1-18,7.972,7.911,8.046,7.910,22710
2021-1-19,7.954,7.990,8.051,7.931,30160
2021-1-20,8.045,8.017,8.067,7.974,25460
2021-1-21,8.022,8.041,8.094,8.016,35140
2021-1-22,7.998,8.038,8.038,7.866,42610
2021-1-25,7.969,8.004,8.023,7.933,21890
2021-1-26,8.009,7.998,8.029,7.905,23990
2021-1-27,7.825,8.005,8.007,7.779,53560
2021-1-28,7.873,7.810,7.927,7.706,53240
2021-1-29,7.856,7.873,7.951,7.790,37050
2021-2-1,7.799,7.799,7.893,7.766,29980
2021-2-2,7.777,7.822,7.849,7.713,36890
2021-2-3,7.843,7.784,7.857,7.720,30460
2021-2-4,7.823,7.849,7.880,7.790,27120
2021-2-5,7.913,7.838,7.989,7.822,33260
2021-2-8,8.037,7.993,8.079,7.967,41290
2021-2-9,8.148,8.083,8.174,8.060,41920
2021-2-10,8.300,8.160,8.327,8.153,59130
2021-2-11,8.281,8.249,8.320,8.239,18940
2021-2-12,8.332,8.293,8.350,8.181,24190
2021-2-15,8.394,8.356,8.405,8.337,18170
2021-2-16,8.406,8.393,8.439,8.353,19620
2021-2-17,8.390,8.406,8.432,8.347,23600
2021-2-18,8.553,8.440,8.633,8.440,58000
2021-2-19,8.910,8.587,8.995,8.555,91310
2021-2-22,9.097,9.028,9.272,8.961,76280
2021-2-23,9.207,9.108,9.304,9.010,73470
2021-2-24,9.309,9.266,9.524,9.128,63990
2021-2-25,9.413,9.485,9.616,9.317,60250
2021-2-26,9.077,9.309,9.353,8.975,66550
2021-3-1,9.044,9.128,9.204,9.030,37740
2021-3-2,9.171,9.054,9.286,8.901,54710
2021-3-3,9.102,9.261,9.261,9.074,35130
2021-3-4,8.908,9.058,9.132,8.656,66960
2021-3-5,8.896,8.699,9.020,8.672,44840
2021-3-8,8.999,9.120,9.120,8.806,41570
2021-3-9,8.780,9.009,9.074,8.754,35290
2021-3-10,8.862,8.777,8.945,8.777,26050
2021-3-11,9.058,8.882,9.134,8.835,38580
2021-3-12,9.085,9.100,9.140,8.962,29930
2021-3-15,9.145,9.164,9.199,9.057,21880
